label,binidx,vv_pol,vv_pol_nm
Ag,1,0.5424417008895573,5.478021289447868e-07
Ag,2,2.069653964450861,0.0030206761899984557
Ag,3,3.4448963981971077,0.2757986580536259
Ag,4,2.0013384833538845,1.126430467237614
Ag,5,1.5342495237246028,1.454096552516823
Ag,6,1.4795547993358746,1.4783694911360676
Ag,7,1.2766660405509507,1.2766651265509004
Ag,8,1.0614085089351954,1.0614085089171947
Ag,9,0.9979286878465498,0.9979286878465498
Ag,10,0.7933539737245514,0.7933539737245514
Ag,11,0.6999512392289695,0.6999512392289695
Ag,12,0.814627931380341,0.814627931380341
Ag,13,0.581627382738201,0.581627382738201
Ag,14,0.6120868011999647,0.6120868011999647
Ag,15,0.4775674482500698,0.4775674482500698
Ag,16,0.6118261070117708,0.6118261070117708
Ag,17,0.4614536008862279,0.4614536008862279
Ag,18,0.5634978155990196,0.5634978155990196
Ag,19,0.6340283421754231,0.6340283421754231
Ag,20,1.225073020328757,1.225073020328757
Ag,22,0.0022279324495820415,0.0022279324495820415
Ag,23,0.026955159840888223,0.026955159840888223
Ag,29,0.022134670161999798,0.022134670161999798
Ag,34,0.0026482222637456507,0.0026482222637456507
Ag,35,0.0031117127952621365,0.0031117127952621365
Ag,36,0.0022160329433770247,0.0022160329433770247
Ag,37,0.015183097572297436,0.015183097572297436
Ag,38,0.003597448106107025,0.003597448106107025
Ag,41,1.3407513180618043e-06,1.3407513180618043e-06
Ag,42,0.004076127545982262,0.004076127545982262
Ag,43,1.4655212868931308e-05,1.4655212868931308e-05
Ag,44,0.0025723085701330924,0.0025723085701330924
Ag,45,0.009307713561534581,0.009307713561534581
Ag,46,0.004501464537455104,0.004501464537455104
Ag,48,4.721293888768293e-06,4.721293888768293e-06
Ag,49,0.055754910865462894,0.055754910865462894
Al,1,5.256311977138655,1.630657317430275e-05
Al,2,11.478577924862975,0.01688883518204517
Al,3,4.107028414362949,0.15010260813511198
Al,4,0.7737167364824754,0.42248908605342506
Al,5,0.18257482943899483,0.1695975167743843
Al,6,0.5859703664016997,0.585242920603032
Al,7,0.015752454713840125,0.015752451616822538
Al,8,0.39709508542785565,0.39709508542751937
Al,9,0.05693130547652255,0.05693130547652254
Al,10,0.04463832634105737,0.04463832634105737
Al,11,0.18873562289418805,0.18873562289418805
Al,12,0.1094798380427479,0.1094798380427479
Al,13,0.006579055066073152,0.006579055066073152
Al,14,0.0003072944254833955,0.0003072944254833955
Al,15,0.14184860221563966,0.14184860221563966
Al,16,0.01577674305735489,0.01577674305735489
Al,17,0.009253277669185458,0.009253277669185458
Al,19,0.07601150652648997,0.07601150652648997
Al,20,0.008369261176629039,0.008369261176629039
Al,21,1.1409243759547722e-05,1.1409243759547722e-05
Al,22,0.01112913919223188,0.01112913919223188
Al,23,0.06878050720289478,0.06878050720289478
Al,24,0.0019036824145383603,0.0019036824145383603
Al,25,0.016844809561971687,0.016844809561971687
Al,26,0.03946037890299567,0.03946037890299567
Al,27,0.01846487313823456,0.01846487313823456
Al,28,0.020108522878273975,0.020108522878273975
Al,29,0.04975964051786159,0.04975964051786159
Al,30,0.0016297256279940286,0.0016297256279940286
Al,31,0.07590960872003272,0.07590960872003272
Al,32,0.05294704016458095,0.05294704016458095
Al,33,0.15970497220090507,0.15970497220090507
Al,34,0.004180993439957492,0.004180993439957492
Al,35,5.685361147135291e-09,5.685361147135291e-09
Al,44,2.580418044875597e-07,2.580418044875597e-07
Al,47,0.0023514240729340533,0.0023514240729340533
Al,49,0.002026231080923496,0.002026231080923496
AlAs,1,0.22269478695624345,2.0711801474660397e-07
AlAs,2,0.6420919102078861,0.0006714056216986546
AlAs,3,1.7424042931261845,0.11817757138366466
AlAs,4,2.5425453530456377,1.504095203915953
AlAs,5,8.93698313213552,8.609024610839022
AlAs,6,13.569869191711492,13.560841426979913
AlAs,7,11.897923340310136,11.897915682021754
