label,scale,method,ene,delta,reldelta
6b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-80.20328980406735,-3.203289804067353,-0.041601166286589
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-77.21537689316573,-0.2153768931657254,-0.0027971025086457844
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-76.65493082239092,0.3450691776090764,0.004481417891026966
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-76.78356086222155,0.21643913777845114,0.002810897893226638
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-76.17052962615969,0.8294703738403086,0.010772342517406606
6b,1,PBE,-62.78873638014379,14.211263619856211,0.18456186519293782
7a,1,PBE+MBD(scs),-131.71264709531906,-0.21264709531905623,-0.0016170881773312261
7a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-135.02092238488527,-3.5209223848852673,-0.02677507517023017
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-125.80868851440546,5.6913114855945395,0.0432799352516695
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-124.9118034639114,6.588196536088603,0.050100353886605345
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-124.4901164437901,7.0098835562099,0.0533070992867673
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-123.46281962309219,8.037180376907813,0.061119242409945346
7a,1,PBE,-86.72345033298505,44.77654966701495,0.3405060811179844
7b,1,PBE+MBD(scs),-27.29431940884049,-4.694319408840489,-0.20771324817878267
7b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-30.651801672222952,-8.05180167222295,-0.3562744102753518
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-24.368461466042625,-1.7684614660426234,-0.07825050734701873
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-24.19138100790256,-1.5913810079025588,-0.07041508884524596
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-23.71030505250178,-1.1103050525017792,-0.049128542146096424
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-23.39873876619002,-0.79873876619002,-0.03534242328274425
7b,1,PBE,1.3455686961635935,23.945568696163594,1.0595384378833448
