label,scale,method,ene,delta,reldelta,group
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-4.328070986946349,-0.06807098694634917,-0.015979104916983372,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.330180176748048,-0.07018017674804788,-0.016474219893907956,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-4.342057137590326,-0.08205713759032651,-0.019262238870968666,
AlP,1.0,PBE+MBD(scs),-4.380838401605558,-0.12083840160555859,-0.02836582197313582,
AlP,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.356019738139101,-0.09601973813910103,-0.022539844633591793,
AlP,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-4.308494362949883,-0.048494362949883296,-0.011383653274620492,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-4.337943722579254,-0.07794372257925453,-0.018296648492782754,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-4.330316472680962,-0.07031647268096197,-0.016506214244357272,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.3318708679674875,-0.07187086796748776,-0.01687109576701591,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-4.3446731330538,-0.08467313305380042,-0.01987632231309869,
AlP,1.0,PBE,-4.109688477581986,0.15031152241801404,0.03528439493380611,
AlSb,1.0,"PBE+MBD(rpa,scs)",-3.5304133388539567,-0.23041333885395687,-0.06982222389513845,
AlSb,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.539773594386075,-0.23977359438607504,-0.0726586649654773,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.4627852880861325,-0.16278528808613268,-0.049328875177615965,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.51091918962374,-0.21091918962374034,-0.06391490594658798,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.500238853759135,-0.20023885375913508,-0.06067844053307124,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.5133814532417023,-0.21338145324170243,-0.06466104643687953,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.507483237390895,-0.20748323739089525,-0.0628737083002713,
AlSb,1.0,PBE+MBD(scs),-3.5326081750109175,-0.23260817501091768,-0.07048732576088415,
AlSb,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.545166408003122,-0.24516640800312217,-0.07429285091003703,
AlSb,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.4639707168593565,-0.1639707168593567,-0.049688096017986884,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.514903461857476,-0.21490346185747633,-0.06512226116893223,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.5040075374874613,-0.20400753748746148,-0.06182046590529136,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.516620596848977,-0.21662059684897716,-0.06564260510575066,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.5114314665948934,-0.21143146659489354,-0.06407014139239198,
AlSb,1.0,PBE,-3.2659804928350553,0.03401950716494451,0.0103089415651347,
Au,1.0,"PBE+MBD(rpa,scs)",-3.5415010019649182,0.2684989980350818,0.07047217796196373,
Au,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.676292249734943,0.133707750265057,0.03509389770736404,
Au,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.23920538115274,0.5707946188472599,0.14981486058983198,
Au,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.4702588721360184,0.3397411278639817,0.08917089970183247,
Au,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.3800424577551627,0.4299575422448374,0.11284974862069223,
Au,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.5659544261537253,0.2440455738462748,0.06405395639009837,
Au,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.420369633045721,0.3896303669542789,0.10226518817697608,
Au,1.0,PBE+MBD(scs),-3.5456804591246134,0.26431954087538667,0.06937520757884165,
Au,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Au,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.240332508456475,0.5696674915435249,0.1495190266518438,
Au,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",,,,
Au,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.4021126569791886,0.4078873430208114,0.10705704541228646,
Au,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",,,,
Au,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.4503047657301167,0.35969523426988337,0.09440819797109799,
Au,1.0,PBE,-3.0507090400841164,0.7592909599158837,0.1992889658571873,
BAs,1.0,"PBE+MBD(rpa,scs)",-4.8898277691105445,-0.18982776911054433,-0.040388887044796665,
BAs,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-4.8766083610440445,-0.17660836104404432,-0.03757624703064773,
BAs,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-4.849015923675939,-0.14901592367593874,-0.03170551567573165,
BAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-4.841440698513275,-0.141440698513275,-0.03009376564112234,
BAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-4.849704823872657,-0.14970482387265704,-0.031852090185671714,
BAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.856727964643173,-0.1567279646431725,-0.03334637545599415,
BAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-4.865732378623138,-0.1657323786231375,-0.03526220821768883,
BAs,1.0,PBE+MBD(scs),-4.888389831249505,-0.1883898312495047,-0.04008294281904355,
BAs,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.876190301166663,-0.17619030116666323,-0.03748729812056664,
BAs,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-4.847612082939834,-0.1476120829398342,-0.03140682615741153,
BAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-4.840679277229513,-0.14067927722951268,-0.02993176111266227,
BAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-4.848910647402557,-0.14891064740255722,-0.031683116468629195,
BAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.855741361492365,-0.15574136149236484,-0.033136459891992515,
BAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-4.864898193927157,-0.164898193927157,-0.03508472211216106,
BAs,1.0,PBE,-4.642591740151939,0.05740825984806097,0.012214523371927867,
BN,1.0,"PBE+MBD(rpa,scs)",-7.1626659865837,-0.5626659865837,-0.08525242220965153,
BN,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.109759500190869,-0.509759500190869,-0.07723628790770744,
BN,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-7.125128795721117,-0.525128795721117,-0.0795649690486541,
BN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-7.0973635914126,-0.49736359141260067,-0.07535811991100011,
BN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-7.100023077591337,-0.5000230775913375,-0.07576107236232386,
BN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.105756471529394,-0.5057564715293941,-0.07662976841354456,
