label,scale,method,ene,delta,reldelta,group
CdSe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-2.5869163324923106,-0.1319163324923105,-0.0537337403227334,
CdSe,1.0,PBE,-2.3010479915339315,0.1539520084660686,0.06270957574992611,
CdTe,1.0,"PBE+MBD(rpa,scs)",-2.161425412835283,0.06357458716471687,0.028572848163917693,
CdTe,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-2.2402817515509224,-0.015281751550922262,-0.006868202944234725,
CdTe,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-2.1208490537056877,0.10415094629431243,0.046809414064859514,
CdTe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-2.238654328634482,-0.013654328634482127,-0.00613677691437399,
CdTe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-2.2174064995074527,0.007593500492547367,0.003412809210133648,
CdTe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.2173932011277886,0.007606798872211495,0.0034187860099826944,
CdTe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.197641213013639,0.02735878698636096,0.012296084038813914,
CdTe,1.0,PBE+MBD(scs),-2.159363826175092,0.06563617382490827,0.02949940396625091,
CdTe,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-2.2449107962872867,-0.019910796287286647,-0.008948672488668156,
CdTe,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-2.1205003778499845,0.10449962215001563,0.046966122314613765,
CdTe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-2.2417135456502195,-0.01671354565021943,-0.00751170591021098,
CdTe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-2.2202047947832306,0.00479520521676946,0.002155148412031218,
CdTe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.2222031889436753,0.0027968110563247883,0.00125699373317968,
CdTe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-2.200196064902687,0.024803935097313268,0.01114783599879248,
CdTe,1.0,PBE,-1.9125266412353557,0.31247335876464444,0.14043746461332335,
Cu,1.0,"PBE+MBD(rpa,scs)",-4.12998595235309,-0.63998595235309,-0.1833770637114871,
Cu,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-4.105938604183252,-0.6159386041832517,-0.17648670606969963,
Cu,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.5882672058294327,-0.09826720582943249,-0.028156792501270053,
Cu,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.744594337026085,-0.2545943370260848,-0.0729496667696518,
Cu,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.67766689199528,-0.18766689199527997,-0.05377274842271632,
Cu,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.6852747334745186,-0.1952747334745184,-0.05595264569470441,
Cu,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.7560307953037837,-0.2660307953037835,-0.07622658891225888,
Cu,1.0,PBE+MBD(scs),,,,
Cu,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Cu,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.5887154108450425,-0.09871541084504232,-0.02828521800717545,
Cu,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.7463453002996756,-0.2563453002996754,-0.07345137544403306,
Cu,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.6787033625811296,-0.1887033625811294,-0.05406973139860441,
Cu,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.6858403759019356,-0.19584037590193537,-0.056114720888806695,
Cu,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.7578996521819765,-0.2678996521819763,-0.07676207798910495,
Cu,1.0,PBE,-3.517661506263354,-0.02766150626335362,-0.007925933026748887,
Fe,1.0,"PBE+MBD(rpa,scs)",-5.885034175838807,-1.6050341758388065,-0.3750079850090669,
Fe,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-5.488141500747616,-1.2081415007476162,-0.28227605157654584,
Fe,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-5.196305747666899,-0.9163057476668985,-0.21409012795955573,
Fe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-5.263251172306289,-0.9832511723062884,-0.22973158231455337,
Fe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-5.247142361145691,-0.9671423611456911,-0.22596784138918014,
Fe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.258807128893066,-0.9788071288930658,-0.2286932544142677,
Fe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-5.3377492510374545,-1.0577492510374542,-0.24713767547604068,
Fe,1.0,PBE+MBD(scs),-5.89673745421565,-1.6167374542156496,-0.3777423958447779,
Fe,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-5.499169001806418,-1.219169001806418,-0.2848525705155182,
Fe,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-5.196833127048202,-0.9168331270482017,-0.21421334744116863,
Fe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-5.262600073620337,-0.9826000736203371,-0.22957945645334976,
Fe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-5.246572689212198,-0.9665726892121977,-0.22583474047013966,
Fe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.258095844402742,-0.9780958444027421,-0.22852706644923879,
Fe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-5.3367283284395475,-1.0567283284395472,-0.2468991421587727,
Fe,1.0,PBE,-5.136890118700036,-0.8568901187000355,-0.2002079716588868,
GaAs,1.0,"PBE+MBD(rpa,scs)",-3.4394854590838646,-0.12948545908386455,-0.03911947404346361,
GaAs,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.454487002372004,-0.14448700237200374,-0.043651662348037384,
GaAs,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.358285665875742,-0.04828566587574201,-0.014587814463970396,
GaAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.450328024852274,-0.1403280248522738,-0.04239517367138181,
GaAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.427197431617735,-0.11719743161773488,-0.0354070790385906,
GaAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.4297883560114424,-0.11978835601144233,-0.036189835653003724,
GaAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.436993119273895,-0.1269931192738949,-0.03836650129120692,
GaAs,1.0,PBE+MBD(scs),-3.442326764659052,-0.13232676465905202,-0.039977874519351066,
GaAs,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.461648980599032,-0.15164898059903198,-0.04581540199366525,
GaAs,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.3575830600224985,-0.04758306002249846,-0.014375546834591678,
GaAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.455144303244588,-0.14514430324458782,-0.043850242672080916,
GaAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.4313145301379646,-0.12131453013796456,-0.03665091544953612,
GaAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.432195231458722,-0.12219523145872202,-0.03691698835610937,
GaAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.4414311974545324,-0.13143119745453236,-0.039707310409224275,
GaAs,1.0,PBE,-3.162544030226102,0.14745596977389797,0.044548631351630806,
GaN,1.0,"PBE+MBD(rpa,scs)",-4.669757961512745,-0.18975796151274427,-0.04235668783766613,
GaN,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-4.642195622845955,-0.1621956228459549,-0.0362043800995435,
GaN,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-4.5767920279506065,-0.09679202795060604,-0.021605363381831704,
GaN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-4.654141100838676,-0.17414110083867573,-0.0388707814372044,
GaN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-4.623455449947581,-0.14345544994758086,-0.03202130579187072,
GaN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.623981355068753,-0.14398135506875231,-0.032138695327846495,
GaN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-4.64620076367089,-0.16620076367088998,-0.03709838474796651,
GaN,1.0,PBE+MBD(scs),-4.671505593437913,-0.1915055934379124,-0.042746784249534014,
GaN,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.653029962736064,-0.17302996273606386,-0.038622759539299965,
GaN,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-4.576043703679978,-0.09604370367997728,-0.02143832671428064,
GaN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-4.659419038391603,-0.179419038391603,-0.04004889249812567,
GaN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-4.627610130287076,-0.1476101302870756,-0.03294868979622223,
GaN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.624524050038769,-0.14452405003876834,-0.03225983259793936,
GaN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-4.6514322149421785,-0.17143221494217808,-0.038266119406736174,
GaN,1.0,PBE,-4.4057781093153014,0.07422189068469898,0.016567386313548878,
GaP,1.0,"PBE+MBD(rpa,scs)",-3.78291297024213,-0.22291297024212975,-0.06261600287700274,
GaP,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.781004787027705,-0.22100478702770499,-0.06207999635609691,
GaP,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.694967292036599,-0.13496729203659896,-0.03791216068443791,
GaP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.779994757781503,-0.21999475778150313,-0.06179628027570312,
GaP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.7540468922972847,-0.19404689229728467,-0.0545075540160912,
GaP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.75147922701656,-0.19147922701655995,-0.053786299723752796,
GaP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.768385791325384,-0.20838579132538415,-0.05853533464196184,
GaP,1.0,PBE+MBD(scs),-3.784921152245556,-0.22492115224555587,-0.06318009894538086,
GaP,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.788802302129177,-0.22880230212917674,-0.0642703095868474,
GaP,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.6940142036463337,-0.13401420364633365,-0.03764443922649822,
GaP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.7850470549550903,-0.22504705495509025,-0.06321546487502536,
GaP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.758288185063183,-0.1982881850631828,-0.05569892838853449,
GaP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.753323162800116,-0.19332316280011597,-0.05430425921351572,
GaP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.7730931100461054,-0.21309311004610532,-0.059857615181490256,
GaP,1.0,PBE,-3.500299494840108,0.059700505159892,0.016769804820194384,
GaSb,1.0,"PBE+MBD(rpa,scs)",-3.1232076819247103,-0.12320768192471032,-0.041069227308236776,
GaSb,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.1566114336477256,-0.15661143364772556,-0.05220381121590852,
GaSb,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.04613203753789,-0.04613203753789019,-0.015377345845963397,
GaSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.150299191100988,-0.15029919110098788,-0.05009973036699596,
GaSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.1234621509690714,-0.12346215096907143,-0.04115405032302381,
GaSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.131145844837003,-0.1311458448370031,-0.043715281612334365,
GaSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.12831628785406,-0.12831628785406002,-0.04277209595135334,
GaSb,1.0,PBE+MBD(scs),-3.1254457156520976,-0.1254457156520976,-0.041815238550699206,
GaSb,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.1660388961272004,-0.16603889612720035,-0.05534629870906679,
GaSb,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.0462180145271964,-0.04621801452719643,-0.01540600484239881,
GaSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.15635107744377,-0.15635107744376997,-0.05211702581458999,
GaSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.1288597446281394,-0.12885974462813943,-0.04295324820937981,
GaSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.135126363291588,-0.135126363291588,-0.045042121097196,
GaSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.133852893858064,-0.1338528938580641,-0.044617631286021364,
GaSb,1.0,PBE,-2.8460476768425784,0.15395232315742158,0.05131744105247386,
Ge,1.0,"PBE+MBD(rpa,scs)",-4.008762760331589,-0.13876276033158863,-0.03585601042159913,
Ge,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-4.015403996713496,-0.1454039967134957,-0.03757209217402989,
Ge,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.9319059736996014,-0.06190597369960127,-0.015996375632971904,
Ge,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.9957268962744688,-0.12572689627446865,-0.032487570096761925,
Ge,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.9871270485574994,-0.11712704855749934,-0.030265387224160036,
Ge,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.9975722629012913,-0.1275722629012912,-0.0329644090184215,
Ge,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.998905406155943,-0.1289054061559427,-0.03330889047957176,
Ge,1.0,PBE+MBD(scs),-4.00833632241282,-0.1383363224128198,-0.03574581974491468,
Ge,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.020081654402132,-0.15008165440213173,-0.03878078925119683,
Ge,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.931326544387324,-0.06132654438732388,-0.01584665229646612,
Ge,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.998560900858332,-0.12856090085833172,-0.03321987102282473,
Ge,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.9898515645863997,-0.11985156458639956,-0.030969396533953374,
Ge,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.9990727032054343,-0.12907270320543418,-0.03335211969132666,
Ge,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-4.001780401083249,-0.1317804010832493,-0.03405178322564581,
Ge,1.0,PBE,-3.7305450234575623,0.13945497654243777,0.03603487765954464,
HfC,1.0,"PBE+MBD(rpa,scs)",-8.64132089873663,-0.5313208987366309,-0.06551429084298778,
HfC,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-8.398955189134822,-0.288955189134823,-0.03562949311156881,
HfC,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-8.243904830160087,-0.13390483016008758,-0.01651107646856814,
HfC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-8.365692980396522,-0.2556929803965229,-0.03152811102299913,
HfC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-8.301298645926325,-0.1912986459263255,-0.023587995798560482,
HfC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-8.283667540697587,-0.17366754069758805,-0.02141400008601579,
HfC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-8.392542965869964,-0.28254296586996475,-0.03483883672872562,
HfC,1.0,PBE+MBD(scs),,,,
HfC,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
HfC,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-8.244034874222898,-0.13403487422289828,-0.016527111494808667,
HfC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-8.367181419518722,-0.257181419518723,-0.03171164235742577,
HfC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-8.302155937850792,-0.1921559378507922,-0.023693703804043433,
HfC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-8.282966171660913,-0.17296617166091366,-0.021327518083959763,
HfC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-8.39424328475106,-0.2842432847510601,-0.035048493804076465,
HfC,1.0,PBE,-8.0948754267891,0.015124573210899328,0.0018649288792724204,
HfN,1.0,"PBE+MBD(rpa,scs)",-8.115167424116665,-0.08516742411666556,-0.010606154933582261,
HfN,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.830335612521853,0.19966438747814674,0.024864805414464106,
HfN,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-7.6922913744040455,0.3377086255959538,0.04205586869189961,
HfN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-7.805356438905048,0.22464356109495132,0.027975536873592943,
HfN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-7.741346323330877,0.28865367666912256,0.03594690867610493,
HfN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.7261213269110645,0.3038786730889349,0.03784292317421357,
HfN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-7.825762588662899,0.20423741133710038,0.025434297800386103,
HfN,1.0,PBE+MBD(scs),,,,
HfN,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
HfN,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-7.692970273956309,0.3370297260436903,0.04197132329311212,
HfN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-7.806105381342445,0.2238946186575541,0.027882268824103877,
HfN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-7.741767962656624,0.2882320373433753,0.03589440066542657,
HfN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.725827599758335,0.30417240024166414,0.03787950189809018,
HfN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-7.82661071804531,0.20338928195468942,0.025328677702950116,
HfN,1.0,PBE,-7.537229747412142,0.49277025258785745,0.061366158479185244,
InAs,1.0,"PBE+MBD(rpa,scs)",-3.17963151417367,-0.12963151417367014,-0.04250213579464595,
InAs,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.2073818763177444,-0.15738187631774458,-0.05160061518614577,
InAs,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.107303606985318,-0.05730360698531811,-0.018788067864038725,
InAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.214150096565584,-0.1641500965655842,-0.05381970379199483,
InAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.1810939474764006,-0.1310939474764008,-0.0429816221234101,
InAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.1796435314516125,-0.12964353145161267,-0.042506075885774645,
InAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.184322757445697,-0.13432275744569733,-0.044040248342851585,
InAs,1.0,PBE+MBD(scs),-3.1828307787215167,-0.13283077872151683,-0.04355107499066126,
InAs,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.213608722995734,-0.16360872299573437,-0.05364220426089652,
InAs,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.1070327772065887,-0.057032777206588836,-0.01869927121527503,
InAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.219269686927279,-0.1692696869272794,-0.05549825800894407,
InAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.185418797489601,-0.13541879748960106,-0.04439960573429543,
InAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.182988180247656,-0.13298818024765602,-0.04360268204841181,
InAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.1887804006230778,-0.13878040062307795,-0.04550177069609113,
InAs,1.0,PBE,-2.90962500969078,0.14037499030921996,0.0460245869866295,
InP,1.0,"PBE+MBD(rpa,scs)",-3.44422694248621,-0.014226942486209815,-0.004147796643209858,
InP,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.4566532414127558,-0.0266532414127556,-0.007770624318587638,
InP,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.3669870339063483,0.06301296609365181,0.018371127141006357,
InP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.4681760052626993,-0.03817600526269915,-0.011130030688833573,
InP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.431764309893633,-0.0017643098936326318,-0.0005143760622835661,
InP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.4256802494480585,0.00431975055194167,0.0012594024932774549,
InP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.438832139697165,-0.008832139697164898,-0.002574967841739037,
InP,1.0,PBE+MBD(scs),-3.447289314342208,-0.017289314342207707,-0.005040616426299623,
InP,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.463251333002452,-0.033251333002451755,-0.009694266181472814,
InP,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.366348701531106,0.06365129846889417,0.01855722987431317,
InP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.4735134600928954,-0.04351346009289525,-0.012686139968774124,
InP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.436164688376568,-0.006164688376567806,-0.0017972852409818675,
InP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.4284880236888258,0.00151197631117439,0.0004408094201674606,
InP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.4434700544890435,-0.01347005448904337,-0.003927129588642382,
InP,1.0,PBE,-3.1689807721565675,0.2610192278434327,0.07609890024589874,
InSb,1.0,"PBE+MBD(rpa,scs)",-2.9318234418179348,-0.14182344181793471,-0.05083277484513789,
InSb,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-2.972277437770424,-0.18227743777042393,-0.06533241497147811,
InSb,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-2.8614191849413673,-0.07141918494136723,-0.025598274172533058,
InSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-2.976671176246699,-0.18667117624669904,-0.06690723162964124,
InSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-2.94167667428132,-0.1516766742813198,-0.054364399383985594,
InSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.9452346857964335,-0.1552346857964335,-0.05563967232847079,
InSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.9410766893418,-0.15107668934179985,-0.05414935101856626,
InSb,1.0,PBE+MBD(scs),-2.9342606744650093,-0.14426067446500923,-0.051706334933695065,
InSb,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-2.9792976177179717,-0.1892976177179717,-0.06784860850106512,
InSb,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-2.8619683450824516,-0.07196834508245153,-0.025795105764319547,
InSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-2.982571451056971,-0.19257145105697093,-0.06902202546844836,
InSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-2.9468805115435055,-0.15688051154350546,-0.05622957402993027,
InSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.9498039473788995,-0.15980394737889947,-0.0572774004942292,
InSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-2.9462789035717436,-0.15627890357174357,-0.056013943932524575,
InSb,1.0,PBE,-2.6614063022427743,0.12859369775722573,0.04609093109577983,
Ir,1.0,"PBE+MBD(rpa,scs)",-7.993115278229592,-1.0531152782295914,-0.1517457173241486,
Ir,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.805320350389393,-0.8653203503893927,-0.12468592945092113,
Ir,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-7.56638175890567,-0.6263817589056693,-0.09025673759447683,
Ir,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-7.653602698021937,-0.713602698021937,-0.10282459625676325,
Ir,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-7.609184288823657,-0.669184288823657,-0.09642424911003702,
Ir,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.699569912034301,-0.7595699120343005,-0.10944811412597989,
Ir,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-7.688257746468669,-0.7482577464686688,-0.10781811908770443,
Ir,1.0,PBE+MBD(scs),-8.009867584922958,-1.0698675849229575,-0.15415959436930224,
Ir,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Ir,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-7.567758062294679,-0.6277580622946788,-0.0904550522038442,
Ir,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-7.6528214030601385,-0.7128214030601381,-0.10271201773200836,
Ir,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-7.608491220784438,-0.6684912207844373,-0.09632438339833391,
Ir,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.706546799155672,-0.7665467991556714,-0.1104534292731515,
Ir,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-7.687398240286278,-0.7473982402862775,-0.10769427093462212,
Ir,1.0,PBE,-7.392495831139037,-0.4524958311390366,-0.06520112840620124,
